Nänäre north=Assajee south=Lalale east=Inkö west=Vääkän
Entüümemmäälei north=Artooraa south=Ponuos east=Kökkürvüä west=Akatee
Ööstögi north=Tinsii south=Nanato east=Naapata west=Amitoo
Karvi north=Ijoumpa south=Ikremä east=Omalaa west=Ariktoo
Täänösääs north=Nihää south=Aloo east=Öösüskünsäri west=Tärkällö
Ehkookkaa north=Häntä south=Äkilä east=Häslöti west=Kilääsennen
Ikanii north=Kaate south=Idääsiksähi east=Teherva west=Auno
Tejä north=Kidistoos south=Mönä east=Ööjän west=Aanta
Ääntöölmesüä north=Aakoomelai south=Nästäänihtöte east=Kappiro west=Naaperkon
Sentase north=Anorjolie south=Sütäähtää east=Oolla west=Akoo
Inäättäi north=Jostoo south=Ötteltö east=Äähis west=Pilata
Länäs north=Pelinükä south=Päävö east=Hävirji west=Nuhdeponikke
Örä north=Pürvüüstääs south=Estetipesti east=Äktälä
Audua north=Pökrös south=Sarnalukkiko east=Hela west=Pöönäntä
Tühtä north=Härööte south=Ookkua east=Aalokka west=Süllös
Telä north=Ärhönättätän south=Sijä east=Irkavininna west=Tentäävi
Aaleneme north=Noso south=Ketö east=Vöingäädöön west=Ereliule
Äärtäästööt north=Mälä south=Süsälävüürtäl east=Etave west=Isije
Roomi north=Aaha south=Emus east=Olita west=Ami
Nääsää north=Kääskensi south=Aulilko east=Inüvös west=Mävivünsüüvi
Nistää north=Aros south=Aasallekolli east=Neksä west=Ona
Pelaas north=Söösälöölen south=Etin east=Mirhemäs west=Vimemäppäväs
Nätä north=Hani south=Kasaavarsa east=Tämä west=Resän
Iräjörepä north=Loontoo south=Todalli east=Älätääs west=Lelkelmää
Raki north=Nuli south=Sörhermöönüpe east=Inaa west=Kentatka
Riratsamelluo north=Käli south=Rerallan east=Höne west=Nissa
Numi north=Önö south=Öüsälkäkkänä east=Teküjää west=Ratoppuon
Laake north=Erjo south=Temoli east=Ihi west=Pülke
Taallut north=Aalvikkiki south=Ospa east=Olovoon west=Annaa
Äüntirvi north=Samipin south=Etimineles east=Eraahi west=Astaske
Metistaa north=Tavi south=Ansaan east=Nikko west=Tulkaka
Künää north=Paapapperippe south=Tööpri east=Läkköhe west=Ohus
Aolla north=Mikses south=Ringirte east=Änsäs west=Anirestan
Nijomooke north=Hilmuitkin south=Jutaanme east=Tepärelpiltin west=Kervä
Tupa north=Änelöö south=Tatadiskis east=Kiri west=Inäli
Nelän north=Tüürti south=Huolkiki east=Lälläntetinkis west=Kasta
Näläjelkirsi north=Tidin south=Pirepö east=Ise west=Ova
Noorkori north=Oohkoskikalaas south=Töreni east=Vusin west=Eimäänjää
Ähkää north=Enarta south=Ölikän east=Äävi west=Vaaponti
Mulaas north=Nikkektümüä south=Hirra east=Mini west=Onossi
Käjäsvärile north=Ollaase south=Ästä east=Arenoha west=Lisivan
Eljöläs north=Könen south=Melätö east=Änkis west=Iita
Pääsä north=Reede south=Nihelka east=Tekinso west=Irvä
Pinvelli north=Nümeni south=Ivörhe east=Küülmääs west=Iste
Äsä north=Elüsköörsä south=Setä east=Eikülö west=Rötkette
Hinöösie north=Eksaspa south=Erken east=Ansava west=Tövelkäkkä
Räästöö north=Ööküüttän south=Sedinönä east=Eevan west=Totaa
Aalmaara north=Tisti south=Teläjie east=Täksistünäännä west=Lipe
Loselken north=Möntösküä south=Nömme east=Teerirroorvo west=Nangii
Likilvin north=Livurhedostee south=Lälöpee east=Naapan west=Emo
Kinni north=Tätää south=Raakare east=Öüllüre west=Ötän
Löösäämüt north=Paadame south=Solpoltaa east=Sejismi west=Pitsääntüä
Ääntiüs north=Känüngilääni east=Ihdo west=Opla
Sääntängi north=Äällekäntün south=Maksaakaparpi east=Höjä west=Appikittuus
Tükün north=Äüvää south=Küünääksä east=Otei west=Ihjo
Aalo north=Siditöö south=Säkä east=Oove west=Ädejä
Läänüli north=Amaski south=Ekitä east=Nasi west=Inose
Äköös north=Eerärjää south=Vukki east=Paanehkeeherhis west=Eivis
Iktaa north=Nöküünnürän south=Riskas east=Espis west=Iiha
Nami south=Edaas east=Tästüttö west=Alesti
Ennäli north=Sevi south=Tepi east=Ämin west=Veentoo
Allekan north=Tilmäävä south=Vaativa east=Hülmää west=Ääppikke
Nurua north=Öövevö south=Hula east=Piilasanaadot west=Takookii
Jahtemaa north=Ide south=Ämää east=Äähääseehöjän west=Ojollerurua
Äpöön north=Ääsmi south=Tentallaarvi east=Arjan west=Toottutes
Säste north=Läkki south=Inneurva east=Käsillülii west=Seintelöövi
Aarejaa north=Lööslirtääte south=Apen east=Siläläskä west=Alasti
Silkemahaljaa north=Pisöömö south=Himpi east=Oonenki west=Ehtä
Tösöilpesmönsä north=Sisuo south=Ena east=Enulana west=Äsüs
Äänkesä north=Kevä south=Itotasuli east=Äümi west=Tepaasan
Aran north=Kaha south=Näävirivö east=Äülüillüs west=Nineka
Änehäärten north=Kootkelja south=Inala east=Ristö west=Änöhäki
Lötö north=Hätää south=Rerökä east=Ises west=Oora
Leilä north=Malopsi south=Tooskan east=Alla
Tükkennö north=Ninvasato south=Lätöö east=Pärtänülädes west=Naarorti
Naannale north=Looskules south=Eelmi east=Öhtittei west=Oomame
Almoo north=Aareksarraasa south=Rulukkano east=Akka west=Ökinäärve
Köjää north=Rööppümen south=Költöö east=Sapatsa west=Kästenö
Änät north=Adaa south=Ilmaastiijile east=Immana west=Nerra
Äkejätööne north=Räätäljä south=Ikkaansi east=Ketakoohon west=Pintäseppää
Läästäänö north=Neti south=Seletüülüte east=Asna west=Münäple
Niräkä north=Alita south=Ässürhäümä east=Etti west=Ättekkösüjis
Aaje north=Lersali south=Epelalloo east=Önin west=Nönkö
Simuus north=Akuuttekajaa south=Naahi east=Rolo west=Nepemättiskää
Älääs north=Nätinnää south=Inos east=Miipöös west=Inpepestis
Virjan north=Rooraili south=Täliillö east=Nasano west=Astaarinehti
Öönnis north=Elalua south=Looslestaas east=Äsääreppi west=Tene
Opsotua north=Rire south=Ääppüsäs east=Inkäälä west=Lenesistö
Pästö north=Tonsakes south=Nütäs east=Ääkkülestele west=Rinihja
Imepinookaa north=Ennüüsä south=Sisaasnua east=Kilje west=Ötke
Juraa north=Eve south=Ripunaan east=Hontanti west=Sukinaa
Arna north=Kävee south=Arka east=Arakaakasso west=Ivöö
Niti north=Lesinkeepsä south=Alaaltanka east=Eha west=Nalleippe
Eltaahken north=Kova south=Teppele east=Muulujerkuustii west=Alinis
Lüstinkä north=Äkä south=Astaavutin east=Puskes west=Tinon
Asiji north=Käröönepiikki south=Hinsaa east=Holaa west=Ipas
Osaten north=Nähittöös south=Naataretoovan east=Tina west=Soraka
Aho north=Ihkaan south=Testümööti east=Oka west=Aujaha
Ottuurren north=Linsere south=Välli east=Ätiin west=Apluun
Tüpimpekes north=Vastola south=Kera east=Luumerkerjin west=Siläs
Öölvättää north=Iepe south=Ekoo east=Sälös west=Tarkin
Rämö north=Innästi south=Kolaa east=Önäperehköö west=Serovimmuuha
Öösööli north=Ötines south=Sarentin east=Nuulessen west=Äse
Kimi north=Eslima south=Lolanevien east=Leetäs west=Kepös
Atouja north=Entoohtinin south=Jikurtaasua east=Sakuna west=Tepet
Äviülä north=Aanga south=Ölenä east=Sarka west=Inta
Nasi north=Ihin south=Eena east=Vürärhöörääs west=Läänüli
Aarejita north=Ootoon south=Sahi east=Äälää west=Äükääppävis
Äälti north=Toosta south=Eliräs east=Täle west=Ottaskunun
Inö north=Nonaas south=Eekkö east=Visostines west=Apulusluvi
Ööni north=Asika south=Anoma east=Erenuo west=Sättö
Eeta north=Totus south=Tüttärön east=Nöikäs west=Läne
Ärte north=Küüköji south=Soka east=Älernä west=Ehdenitoin
Äünkäski north=Anunee south=Laloo east=Räkään west=Susa
Ilitasvalken north=Itise south=Näppäs east=Ilän west=Ekkoorkervarka
Emo north=Äürsökää south=Löövä east=Likilvin west=Miniköö
Osisteste north=Isüs south=Imo east=Miistälänüülää west=Linüli
Kiltantikase north=Ookeljanga south=Linüs east=Nurni west=Öösän
Illes north=Kenuus south=Övöllekälkää east=Kora west=Öttönä
Estemmes north=Kessis east=Are west=Älörjön
Meertiin north=Akehas south=Omalaa east=Pellämä west=Ijoumpa
Ettörä north=Hükö south=Äläkke east=Kusli west=Tüülänsönihtä
Mälää north=Tömöölää south=Onisa east=Ömö west=Elvä
Saho north=Käkkö south=Viros east=Toonoopismama west=Anuus
Ilvoonmennitka north=Ihirire south=Ponan east=Änäütis west=Pümüä
Kiiköniis north=Emmiine south=Näntöökkän east=Säniehtirjälös west=Ärvökiti
Äsäsä north=Orjurta south=Ientisö east=Astaarinehti west=Luraaso
Arkehduus north=Henös south=Käpöö east=Päällömmä west=Hontijaki
Tüüsüünä north=Risaa south=Ikkikääntö east=Appanaantaa west=Taalarnen
Lemaa north=Tumo south=Isöhin east=Lenesistö west=Otin
Tüppääke north=Lanleesihes south=Näni east=Elään west=Isviravetten
Antinkalimus north=Vihte south=Äksään east=Patuso west=Onevo
Söktätö north=Römöstäsi south=Ijado east=Itkuuvoos west=Tarri
Kisekkä north=Jiihikaaskirkun south=Rooshirha east=Pulattuusta west=Aattekse
Toruulo north=Tamosaa south=Kampohtiino east=Timmilöhen west=Siresi
Voivittaalmin north=Käve south=Arkaa east=Äänäve west=Ilo
Ölökkääkke north=Äälöveki south=Ämpüsä east=Säämi
Nuhdeponikke north=Öüvikees south=Ränälö east=Länäs west=Äteelöön
Astalii north=Sünhöttäärä south=Äde east=Ösälintihtäs west=Äkiltä
Enö north=Neikki south=Ninirvädä east=Takkaantirpaa west=Säävötäs
Nähöömes north=Ookirterumaan south=Sikkäpän east=Eetäs west=Emän
Imistikko north=Takeekseetetos south=Hönüütää east=Sänälve west=Einhe
Taammospaa north=Kisoon south=Lölissihjöhi east=Illujuustuva west=Arota
Etenüä north=Irötäätüke south=Ote east=Tänmöö west=Käsillülii
Vahustin north=Atta south=Istääskääs west=Nikesii
Ili north=Nüsä south=Voojan east=Suollaalan west=Etärkenen
Läälmäs north=Pinne south=Lätän east=Taaslihounliman west=Lilmis
Vusin north=Ohkaan south=Lööstelinihji east=Ana west=Noorkori
Ekoova north=Ilmikke south=Esköräärjös west=Tuurivos
Läässäänönnö north=Epöskähläite south=Nempitröön east=Läne west=Irorun
Laalmasooloot north=Vuurraariisis south=Saatta east=Iijaa west=Änketävö
Öres north=Aamaa south=Nakavoo east=Nölkilmönän west=Neraaje
Ärkevän north=Säättälmä south=Iläs east=Sählüdilä west=Ahenamine
Örniktis north=Onsoorja south=Ieka east=Meisten west=Sihti
Kuultola north=Elotten south=Arenoha east=Lääpävilüä west=Ollaase
Näkälvötömä north=Änkis south=Iltekavehta east=Ääkkä west=Melätö
Tötillöirümi north=Entotenpule south=Mesuta east=Tilköivöli west=Kookkusti
Änää north=Ive south=Sakkas east=Alkirattira west=Ilkivöönestöö
Ivisä north=Hooksi south=Tapuut east=Etätin west=Evo
Ähäänsi north=Anuun south=Ällästen east=Miveepsatema west=Äälükisä
Äsätkään north=Neja south=Nenis east=Hemeviva west=Olkaarin
Odookkika north=Oohti south=Itesa east=Nilama west=Öpikköppä
Ihaartaa north=Nuumiman south=Tekärvä east=Säjää west=Ikaan
Älin north=Nöökää south=Tävärhä east=Räsüülölis west=Sarse
Ramaljo north=Ipi south=Imenereka east=Astura west=Evän
Herte north=Mäkän south=Käntästänhelli east=Esütääväpüün west=Ästüühistöne
Jesäs north=Tetsämäppele south=Hirvi east=Tölmä west=Immulaun
Räküüstön north=Tivos south=Nökkütätää east=Ähvöjön west=Lirtädä
Lustes north=Eluunsi south=Melvää east=Ninsan west=Oosi
Ekkes north=Ilää south=Ekka east=Adin west=Ratolka
Ruumme north=Epsaavahaastaa south=Itkimüüs east=Atetitami west=Aavikkaalkaat
Lipe north=Tenmüümö south=Äälmit east=Aalmaara west=Aulaa
Nümpäädisin north=Nintä south=Tusaa east=Tänni west=Rillöönüülüüppä
Jaatta north=Tiste south=Ileris east=Sövinö west=Estepe
Vömä north=Kiritä south=Ansoos east=Senimöönää west=Hinäädäättelmö
Nölö north=Asakkuukintaan south=Säpä east=Alalli west=Ajaan
Süssä north=Tellö south=Lavipa east=Rontus west=Sämölee
Öhtäätästülä north=Tüüdüä south=Püülpevinätää east=Atsema west=Öösöö
Oosha north=Tikkoo south=Ärästääs east=Äträä west=Hätesäs
Särkä north=Merjön south=Vujihda east=Änäs west=Liisääskän
Sinissis north=Kiskeenen south=Niitüä east=Ästiimö west=Teräski
Ipesta north=Ivää south=Ihdä east=Litsi west=Askaasuutotaa
Jöti north=Ajolje south=Mivis east=Ööhi west=Titkilö
Lüpütö north=Äres south=Imäröinürkün east=Nita west=Otee
Lämälä north=Insinkä south=Pipö east=Tönpörkinölää west=Puukaa
Teres north=Mäläspe south=Paajoot east=Aonke west=Sikküütäkävöö
Amen north=Ennävä south=Irevüskimüs east=Irumaa west=Pisuparheron
Ihte north=Aana south=Läütää east=Oostoli west=Vilirülti
Täsääs north=Ölöötävinä south=Lööretälät east=Erjälän west=Nospon
Noori north=Meppekkekos south=Araa east=Touniletove west=Kunnaakaa
Naalji north=Ahite south=Arhan east=Orkerruhta west=Roki
Öppüülä north=Irräkrün south=Älüä east=Luursee west=Käättipä
Anen north=Akatee south=Vaaksa east=Ponuos west=Näkörkilöölin
Sata north=Ihääli south=Münnäs east=Laaksa west=Puhantonki
Püüntö north=Lite south=Kinannantuhko east=Hisi west=Ispas
Teslookkas north=Osoosta south=Äköö east=Olkaa west=Oharra
Äröö north=Läsäkä south=Kuusee east=Äüttenüühinhä west=Öslörketäärä
Oori north=Inkäälä south=Etidön east=Tülüs west=Ääppüsäs
Kuska north=Seteki south=Aarte east=Mano west=Vöötküüpä
Laavukaa north=Terosa south=Pise east=Ataksata west=Menesta
Ata north=Hägäkikenes south=Aukkoosti east=Ruho west=Suuli
Elmasha north=Nivirönääjä south=Kuttaadas east=Toostaakous west=Äsäälle
Tikättäättintä north=Aavipa south=Peno east=Sömüä west=Helire
Öväänvi north=Rakra south=Ajalaala east=Ösi west=Äälää
Äümmä north=Keesütä south=Ölleenlististe east=Impönes west=Tüüstän
Ikkalila north=Minaana south=Aharnirivoo west=Kesiskin
Nepemättiskää north=Rinaalapa south=Illäne east=Simuus west=Senuulii
Askaa north=Tollanissos south=Tiissö east=Ines west=Irasa
Äüköönüä north=Läntääke south=Jänää east=Hänini west=Nettemärhisüä
Tähtäkääs north=Ehine south=Ateenkenise east=Eeparinaan west=Essö
Äähüütsäkö north=Tarkoja south=Oovi east=Sirkona west=Öüllüre
Raakaas north=Ahmi south=Lakavi east=Lostemaa west=Tutka
Emakeerjalto north=Looses south=Tälääni east=Sirrisemara west=Sinse
Laahturo north=Lünilläheje south=Ästö east=Imüke west=Äästälilmes
Tosokikaa north=Suulalmitaadaan south=Iikes east=Arera west=Ättösäällünnää
Läres north=Tonerkalla south=Sarvutitersi east=Pine west=Miistälänüülää
Älläsöös north=Alvalkentan south=Terpaastaas east=Paantetukimus west=Sini
Ättääsös north=Sonuta south=Samelletini east=Äpisä west=Tepesommaanso
Ääskäägükköstön north=Äkkän south=Nääkä east=Loolan west=Aaraantata
Esti north=Äjäne south=Äästükki east=Nida west=Onvekka
Püünitti north=Inäplän south=Okeves east=Inkisetuuta west=Sääle
Adin north=Risooloonon south=Ääpipisä east=Keppoo west=Ekkes
Muullenin north=Älüüni south=Vettäleri east=Liisääskän west=Ämese
Sääminnidässä north=Mahti south=Lasna east=Rahdas west=Eksäs
Votesileksaa north=Kivikun south=Maaroolki east=Narudoollama west=Itittako
Imemas north=Anoorkirve south=Märetää east=Nälös west=Läätiin
Nentamastua north=Rejäne south=Tetevä east=Enteksi west=Enontihjallo
Ruukua north=Itemes south=Aaji east=Irtürösä west=Isi
Etapina north=Mälle south=Enutakki east=Taava west=Mörkö
Hölää north=Sejimaskos south=Aalittokepi east=Korraarse west=Lahdantahti
Eniljäs north=Äättämikkes south=Käälinti east=Kääkküükö west=Nüüsä
Tasti north=Intat south=Kiestäti east=Pööpe west=Paahkejua
Sihjin north=Ojoka south=Östi east=Ölüüli west=Ihtelkää
Hakaa north=Teesärä south=Suska east=Nönä west=Ekkennää
Serilvä north=Ötäälinäälpes south=Äämeseinnöle east=Önihöömeni west=Lenen
Ästüti north=Äüdähis south=Kihtüttöön east=Agemesmoo west=Tölilläälkä
Ätänümädän north=Eitaanaara south=Ilun east=Talla west=Jotoo
Inääke north=Kälee south=Tontosaa east=Tänüstäs west=Itää
Äärkejimäs north=Innon south=Tekkörän east=Tästülötäänä west=Mehtiris
Äärvän north=Esteesän south=Sutas east=Anseppaa west=Käimi
Inas north=Elünsi south=Sinan east=Sirsö west=Isötelimää
Öretälee north=Oontaakkoo south=Kälili east=Kestaa west=Nüstäljä
Ötööki north=Tarjo south=Alekses east=Roomekos west=Ööri
Artooraa north=Vüninkes south=Entüümemmäälei east=Tootra west=Iseni
Tinsii north=Ömään south=Ööstögi east=Sülihtä west=Äällöstän
Ikremä north=Karvi south=Linättessehkä east=Rasesaasin west=Adi
Nihää north=Ämeürhiles south=Täänösääs east=Inaavi west=Leeke
Äkilä north=Ehkookkaa south=Neskelö east=Mirusuun west=Herka
Kaate north=Patala south=Ikanii east=Örestün west=Ästen
Mönä north=Tejä south=Tosvetsen east=Tettelta west=Sääkelääs
Nästäänihtöte north=Ääntöölmesüä south=Isaan east=Anuulotoola west=Äküürpüä
Sütäähtää north=Sentase south=Neseenköpsä east=Äädö west=Küüstünökälää
Mattee north=Nüte south=Tisö east=Oji west=Kookkira
Päävö north=Länäs south=Estää east=Itästöö west=Ränälö
Estetipesti north=Örä south=Sespooka east=Säälärjä
Sarnalukkiko north=Audua south=Öilekärjä east=Löppöös west=Nöppen
Ookkua north=Tühtä south=Lorvappaa east=Nihdo west=Nistonara
Sijä north=Telä south=Kühälö east=Nesimmä west=Örissürün
Öväkä north=Sütä south=Kestin east=Etteensinila west=Pürsä
Äünänä north=Eeppäsön south=Lisküä east=Äteppälle west=Täsäpää
Aaha north=Vööstääröre south=Roomi east=Takota west=Leskä
Sirkona north=Kelmin south=Muta east=Äälmis west=Äähüütsäkö
Aros north=Iskeküti south=Nistää east=Loslaari west=Ätikä
Ramuukaasii north=Kuhaatta south=Ölee east=Ilartaa west=Atkalilos
Loontoo north=Etkoori south=Iräjörepä east=Lälisöntidis west=Müürääsesnös
Nuli north=Kättöküs south=Raki east=Säsmeki west=Äünkilläs
Käli north=Ales south=Riratsamelluo east=Mäkön west=Asti
Näsäänkepsäpä north=Ottee south=Ieraka east=Ööhmänä west=Pööpe
Temoli north=Laake south=Loilkasi east=Taslo west=Sentaraa
Alilis north=Iküirärääpö south=Eirre east=Kässe west=Läkkäppäkimi
Etimineles north=Äüntirvi south=Sekkosorekas east=Ööstä west=Oji
Ipama north=Ätter east=Etriheekiis west=Epäämäästeme
Ansaan north=Metistaa south=Kaassaas east=Ihua west=Lanta
Öötti north=Losaana south=Tulles east=Perjiköö west=Eitä
Ringirte north=Aolla south=Riemahki east=Ookilloinana west=Asee
Jutaanme north=Nijomooke south=Äsittänkällä east=Isviivätilli west=Aja
Änelöö north=Esoopa south=Tupa east=Aurretse west=Soida
Lonillorre north=Tuunkilme south=Nilama east=Ätüüt west=Oohti
Pirepö north=Näläjelkirsi south=Ököjäte east=Sala west=Otei
Oohkoskikalaas north=Püläntä south=Noorkori east=Ohkaan west=Äsrää
Temeerve north=Öintin south=Kaasate east=Süüntilüä west=Auselluvei
Nikkektümüä north=Tovesto south=Mulaas east=Aavitivi west=Lintorjaamaasaa
Ollaase north=Täsi south=Käjäsvärile east=Kuultola west=Taates
Sikkan north=Ähvöjön east=Asaannis west=Nökkütätää
Sastirvados north=Ehnotus south=Nööräntöölvä east=Sotetahuvi west=Alelislolan
Nümeni north=Tirte south=Pinvelli east=Öttönä west=Sivöüligönä
Elüsköörsä north=Äänkä south=Äsä east=Hörnööngi west=Aaloseva
Talla north=Vitsoolasua south=Inhöökäärä east=Nöödittidötä west=Ätänümädän
Sedinönä north=Räästöö south=Ämö east=Tiimä west=Toolaakkanukas
Tisti north=Läke south=Aalmaara east=Nirä west=Tenmüümö
Nömme north=Loselken south=Loslaari east=Tona west=Iskeküti
Raakare north=Kinni south=Mänis east=Likölli west=Eneen
Solpoltaa north=Löösäämüt south=Ike east=Ilita west=Allijaa
Tivan north=Äppivädittääs south=Inkinüä east=Ontis west=Issi
Aasto north=Nuuna south=Ennüs east=Ööskölän west=Eksümä
Säkä north=Aalo south=Räüteden east=Ola west=Antaasus
Löndön north=Eekükö south=Nistikuun east=Telaa west=Öölään
Eerärjää north=Älmön south=Äköös east=Lelaaspun west=Ninää
Nöküünnürän north=Vuka south=Iktaa east=Tänein west=Jäärää
Pülisöstüs north=Täpä south=Akesaa east=Ätsekännä west=Netusto
Sevi north=Vismüntünääve south=Ennäli east=Nattehalaatsa west=Ääsislilte
Tilmäävä north=Sermi south=Allekan east=Aahontertin west=Änsülvöö
Öövevö north=Lötöö south=Nurua east=Ähääterkääpi west=Äjen
Pätäröörelis north=Virattennaastas south=Ellinkoa east=Önkikää west=Amekkolarsoo
Ääsmi south=Äpöön east=Äki west=Pasvaasta
Nesimmä north=Irkavininna south=Eükkääsvätöö east=Todas west=Sijä
Lööslirtääte north=Kälpüä south=Aarejaa east=Jele west=Äsesättüün
Titkilö north=Nuusallot south=Tedii east=Jöti west=Sinelliskänä
Ena north=Tösöilpesmönsä south=Sükännäsösöis east=Sävöölküülläämä west=Ävin
Itotasuli north=Äänkesä south=Ömänöötihdä east=Asirji west=Ale
Kaha north=Luursee south=Aran east=Ilma west=Älüä
Inala north=Änehäärten south=Malovaa east=Sortos west=Touhinsa
Rerökä north=Lötö south=Aappaan east=Nanejalla west=Öpi
Tooskan north=Leilä south=Saasles east=Müstö
Lätöö north=Tükkennö south=Jäkke east=Äämäppä west=Pilinto
Eelmi north=Naannale south=Kejeräin east=Teri west=Äürmistisüä
Aareksarraasa north=Isikkelo south=Almoo east=Vivimääkänkäs west=Toki
Köjermerä north=Aastislanoo south=Äüssi east=Ime west=Pede
Alaa north=Tampoome south=Vinare east=Rüükemei west=Ääksä
Räätäljä north=Ejaattena south=Äkejätööne east=Äkävin west=Lamottoo
Taaripaloolas north=Sestüsi south=Ösi east=Öölöösmühä west=Rakra
Alita north=Äti south=Niräkä east=Olka west=Hösääte
Lersali north=Kitaakkerenus south=Aaje east=Keläre west=Aasma
Akuuttekajaa north=Käppättejö south=Simuus east=Räänkihtö west=Rinaalapa
Nätinnää north=Evaa south=Älääs east=Pänsimmödet west=Ettüürne
Rooraili north=Telin south=Virjan east=Ipehurarus west=Ädönä
Rillöönüülüüppä north=Linne south=Äntöö east=Nümpäädisin west=Ladodestupun
Ääppüsäs north=Opsotua south=Teti east=Oori west=Inün
Tonsakes north=Avinurorin south=Pästö east=Meli west=Äödätti
Sisaasnua north=Imepinookaa south=Varva east=Ärüün west=Laka
Eve north=Sisi south=Juraa east=Nuutkes west=Ookan
Kupananneha north=Ikuun south=Kervätütüühen east=Änäästä west=Ikkaka
Suvan north=Tikistes south=Nuutsiska east=Türenöön west=Ötöö
Alaaltanka north=Niti south=Tekinso east=Jäkölmüsörte west=Reede
Enüülmees north=Elärvä south=Nööde east=Äüntärä west=Möüstän
Irasa north=Tölmä south=Ilka east=Askaa west=Hirvi
Naataretoovan north=Osaten south=Äätki east=Nääli west=Auhkee
Testümööti north=Aho south=Viraasaa east=Ehekasaan west=Nejäävään
Linsere north=Helmoitte south=Ottuurren east=Otkimmi west=Säkkenäs
Ontes north=Emintäs south=Inua east=Kistä west=Taahdikavis
Iepe north=Lekkö south=Öölvättää east=Ima west=Auhan
Ihdo north=Pikaa east=Emaa west=Ääntiüs
Innästi north=Änepäävää south=Rämö east=Kehtüä west=Hänäpä
Ötines north=Äteenä south=Öösööli east=Tarisi west=Lüihde
Eslima north=Ökäkkirüümmän south=Kimi east=Äütenä west=Örvilkes
Nirtoon north=Äütöön south=Hisilö east=Tissalestere west=Hites
Aanga north=Kasa south=Äviülä east=Oistiva west=Öönääninä
Ihin north=Lätä south=Nasi east=Tidoola west=Amaski
Sahi north=Aarejita south=Vuvarsis east=Eerürüüsä west=Lätenääs
Oriksustoden north=Nertomi south=Ölüüli east=Söllä west=Ojoka
Eekkö north=Inö south=Änee east=Seempa west=Irki
Anoma north=Ööni south=Tari east=Avisi west=Läppälät
Tüttärön north=Eeta south=Mano east=Kikua west=Seteki
Soka north=Ärte south=Rikkiljorraarman east=Aama west=Apo
Altese north=Kunis south=Vikkamo east=Taruosan west=Äppäs
Näppäs north=Ilitasvalken south=Lislaavaanaahti east=Kütüki west=Esuuduutidaan
Löövä north=Emo south=Inäpin east=Lälöpee west=Intepi
Aatipinitaa north=Auspo south=Raalvunta east=Lösmöövüs west=Löppöös
Ohita north=Rokaan south=Asteen east=Anma west=Käsin
Ookeljanga north=Pehdeki south=Kiltantikase east=Istiditte west=Soopivit
Kenuus north=Kitan south=Illes east=Oljoksi west=Akusvaa
Akehas north=Errenistepöö south=Meertiin east=Nuuhtaaman west=Nukodo
Hükö north=Äpüsöö south=Ettörä east=Ookalunni west=Nimedä
Tömöölää north=Täppövävä south=Mälää east=Lirpuuka west=Sepöös
Käkkö north=Ilälinti south=Saho east=Püsön west=Toranin
Arasvo north=Tütkälvää south=Näätää east=Äksen west=Eekalla
Emmiine north=Losasuus south=Kiiköniis east=Iilöühi west=Amonun
Röllööpsäs north=Tiitsa south=Kinemakinis east=Eköön west=Euspaan
Käpöö north=Arkehduus south=Moohti east=Eemää west=Itope
Risaa north=Äädö south=Tüüsüünä east=Oruupli west=Neseenköpsä
Rolo north=Räänkihtö south=Kishöön east=Imestaa west=Simuus
Lanleesihes north=Nitovokahja south=Tüppääke east=Aunni west=Irätitäpi
Äksään north=Antinkalimus south=Öösöö east=Tüüdüä west=Rejes
Ijado north=Söktätö south=Veslöökün east=Sittää west=Ärjüüsme
Irjaan south=Ältäänkä east=Viken west=Aanones
Kampohtiino north=Toruulo south=Titi east=Alti west=Misäätäälees
Arkaa north=Voivittaalmin south=Juukumi east=Allemaploni west=Aassone
Tääjä north=Ootsitut south=Ellit east=Mönmää west=Ookilloinana
Ämpüsä north=Ölökkääkke south=Äällöstän east=Ömään
Öüvikees north=Hönvimä south=Nuhdeponikke east=Pelinükä west=Pürinnüün
Sünhöttäärä north=Etemmeri south=Astalii east=Ansa west=Ira
Öötüüsmää north=Elikaholuos south=Ikissimeeve east=Ettävän west=Esvetta
Ookirterumaan north=Emö south=Nähöömes east=Äni west=Isän
Takeekseetetos north=Käkensi south=Imistikko east=Esaakenilma west=Oohrigua
Kisoon north=Ävi south=Taammospaa east=Ölis west=Aatti
Irötäätüke north=Esuurvoo south=Etenüä east=Kittinerjösi west=Repii
Tirehepä north=Vaahko south=Meka west=Simi
Voojan north=Ili south=Tetän east=Nejöörhei west=Älenpöö
Pinne north=Epüüpä south=Läälmäs east=Kejuseskarse west=Inürmüün
Vetönki north=Idaajo south=Össäsis east=Inäühkährä west=Novepi
Esköräärjös north=Ekoova south=Äntö west=Joti
Nempitröön north=Läässäänönnö south=Vöötküüpä east=Seteki west=Likuurtaa
Saatta north=Laalmasooloot south=Senda east=Ättötsee west=Tiloormo
Nakavoo north=Öres south=Esis east=Ööllönnöörää west=Asaa
Iläs north=Ärkevän south=Ötin east=Emmi west=Säppää
Tädö north=Naate south=Eelörvö east=Neki west=Kestäärjöörkepi
Arenoha north=Kuultola south=Pöstääjiväkö east=Kaatkista west=Käjäsvärile
Mesuta north=Tötillöirümi south=Suhtaa east=Vusse west=Öväärin
Ive north=Kätöö south=Änää east=Anittaa west=Ikküühkei
Hooksi north=Ettäppömötin south=Ivisä east=Pehdöjä west=Iköidööpälö
